GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC01_VC05,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC01_VC07,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC01_VC09,Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC03_VC12,Percent; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate
HC01_VC74,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households
HC01_VC85,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
HC01_VC86,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
HC01_VC103,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Families
HC01_VC118,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC01_VC130,Estimate; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population
HC01_VC131,Estimate; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage
HC01_VC132,Estimate; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance
HC01_VC133,Estimate; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage - With public coverage
HC01_VC134,Estimate; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - No health insurance coverage
HC03_VC161,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC03_VC162,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children of the householder under 18 years
HC03_VC163,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children of the householder under 18 years - With related children of the householder under 5 years only
