"Country","Mortality_Rate","Population_Thousands"
"Australia",3.2,23969
"Austria",3,8544.6
"Belgium",3.2,11299.2
"Canada",4.5,35939.9
"Denmark",3.6,5669.1
"Finland",2,5503.5
"France",3.2,64395.3
"Germany",3.3,80688.5
"Iceland",1.7,329.4
"Ireland",3.1,4688.5
"Italy",2.9,59797.7
"Japan",2,126574
"Netherlands",3.3,16924.9
"New Zealand",4.6,4528.5
"Norway",2.2,5211
"Spain",2.8,46121.7
"Sweden",2.4,9779.4
"Switzerland",3.6,8298.7
"United Kingdom of Great Britain and Northern Ireland",3.7,64715.8
"United States of America",5.7,321774
